id,book,chapter,level,type,question_text,explanation,notes
371c3a70-cb31-4f62-a927-3576432f673e,nawawi,13- المحبة,easy,tf,"حب الخير للمسلمين من علامات الإيمان.","حتى يحب لأخيه.",""
c0cbca1e-37ae-41a7-b752-4062ec19577d,nawawi,14- الدماء,medium,mc,"لا يحل دم امرئ مسلم إلا بإحدى ثلاث:","الثيب الزاني، والنفس بالنفس، والتارك لدينه.",""
59571e92-ff34-4008-aa2e-a6a0bc4545b4,nawawi,15- الأخلاق,easy,tf,"إكرام الجار من الإيمان.","ومن كان يؤمن بالله واليوم الآخر فليكرم جاره.",""
6ed4bd4d-321c-48b4-b26f-0d6426edfc6d,nawawi,15- الأخلاق,easy,mc,"من كان يؤمن بالله واليوم الآخر فليقل...","فليقل خيراً أو ليصمت.",""
7bf71509-12cb-415e-9974-2ea1b237c14a,nawawi,16- الغضب,medium,mc,"الغضب جمرة يلقيها الشيطان، ويطفأ بـ:","الغضب جمرة يلقيها الشيطان.",""
c657e959-434b-4c9c-b1c7-60206d85138d,nawawi,16- الغضب,easy,tf,"علاج الغضب أن يقول: أعوذ بالله من الشيطان الرجيم.","إني لأعلم كلمة لو قالها لذهب عنه ما يجد.",""
14691ce7-a4a6-4aae-b4c1-084fe8dd206c,nawawi,17- الإحسان,medium,mc,"إن الله كتب الإحسان على كل شيء، حتى في...","فإذا قتلتم فأحسنوا القتلة، وإذا ذبحتم فأحسنوا الذبحة.",""
7ca5574a-1866-4575-91d2-abec2ef3166e,nawawi,18- التقوى,easy,mc,"اتق الله حيثما كنت، وأتبع السيئة...","وأتبع السيئة الحسنة تمحها.",""
45777616-94a2-45a0-81c4-1dbcc82a606b,nawawi,2- الإحسان,easy,tf,"الإحسان هو أن تعبد الله كأنك تراه.","فإن لم تكن تراه فإنه يراك.",""
ea0b0624-8cb1-4ff7-9403-bb2539696ef4,nawawi,2- الإيمان,medium,mc,"أركان الإيمان في حديث جبريل:","أن تؤمن بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره.",""
bca53c44-9668-4fdd-a671-cbe8dbe507bf,nawawi,2- الساعة,medium,mc,"من علامات الساعة في حديث جبريل:","أن تلد الأمة ربتها، وأن ترى الحفاة العراة يتطاولون في البنيان.",""
f8d60aef-bdde-4120-a733-9bc08f6f5460,nawawi,2- جبريل,medium,mc,"الإحسان في حديث جبريل أن تعبد الله:","«كأنك تراه فإن لم تكن تراه فإنه يراك» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
2fb147f0-257e-4f48-9580-233929f4af22,nawawi,2- جبريل,medium,mc,"الإحسان مرتبة:","«أعلى مراتب الدين» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
9d2783c1-7db9-476c-a49a-bb3861b1d4e7,nawawi,2- جبريل,medium,mc,"حديث جبريل بيّن مراتب الدين الثلاث:","«الإسلام والإيمان والإحسان» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
1d2f9244-a270-4596-812c-054bf2583002,nawawi,2- جبريل,hard,mc,"دلّ بياض ثياب الرجل وسواد شعره مع عدم أثر السفر في حديث جبريل على:","«أنه لا يُعرف من الصحابة وفيه غرابة» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
9cce0d7b-db39-4846-bbdd-4ec5fe7edce2,nawawi,2- جبريل,medium,tf,"سيدنا جبريل جاء في صورة رجل شديد بياض الثياب.","إذ طلع علينا رجل شديد بياض الثياب.",""
7adf11c1-2f42-412c-87e8-7adbe489d73b,nawawi,2- جبريل,medium,mc,"في حديث جبريل: ما الإسلام؟","الإسلام: الشهادة، إقام الصلاة، إيتاء الزكاة، صوم رمضان، حج البيت.",""
17a9173a-a0cd-47f0-96ba-06757d656b84,nawawi,2- جبريل,medium,mc,"معنى ""العالة"" في حديث جبريل:","«الفقراء» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.",""
773408fc-974c-4281-8dbf-ef171bad0874,nawawi,2- جبريل,medium,mc,"معنى ""طلع علينا"" في حديث جبريل:","«خرج علينا» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.",""
ac4a2acc-6628-446c-a313-81e5405d9f0b,nawawi,20- الحياء,easy,tf,"الحياء من الإيمان.","الحياء شعبة من الإيمان.",""
8b903aae-b88a-48a8-a498-cecfc51f8a03,nawawi,21- الاستقامة,medium,mc,"قل آمنت بالله ثم...","قل آمنت بالله ثم استقم.",""
af629576-73ef-4737-bf82-d57df3153728,nawawi,22- الجنة,medium,tf,"من صلى الصلوات الخمس وصام رمضان وأحل الحلال وحرم الحرام دخل الجنة.","قال النبي ﷺ: نعم.",""
ff19a316-58a1-4278-bee4-b6f49b4fc435,nawawi,23- جوامع الخير,hard,tf,"الصلاة نور.","حديث أبي مالك الأشعري.",""
b21de284-8a66-491d-8b8c-f73373989d28,nawawi,23- جوامع الخير,hard,mc,"الطهور شطر الإيمان، والحمد لله...","والحمد لله تملأ الميزان.",""
d8425a0c-a97f-41a0-a601-876587f77f94,nawawi,24- فضل الله,hard,tf,"الله يغفر الذنوب جميعاً ولا يبالي.","وأنا أغفر الذنوب جميعاً.",""
cb18a215-07dd-4621-ab08-773096785520,nawawi,24- فضل الله,hard,mc,"في الحديث القدسي: يا عبادي إني حرمت الظلم على نفسي...","إني حرمت الظلم على نفسي وجعلته بينكم محرماً.",""
50870bd5-2d04-413e-a3e5-a91569c7eccb,nawawi,25- الصدقة,medium,tf,"في بضع أحدكم صدقة.","قالوا: أيأتي أحدنا شهوته ويكون له فيها أجر؟ قال: نعم.",""
9a483832-b4ef-4e89-a30b-b93486aa91b0,nawawi,26- الصدقة,easy,mc,"كل سلامى من الناس عليه صدقة، منها:","الكلمة الطيبة صدقة.",""
7bdfccd0-03b8-4002-a193-faea65aa043d,nawawi,27- البر والإثم,medium,tf,"الإثم ما حاك في الصدر وكرهت أن يطلع عليه الناس.","كما في الحديث.",""
5d714abc-747b-4e95-8ab4-e31e6f985a3d,nawawi,27- البر والإثم,medium,mc,"البر هو...","البر حسن الخلق.",""
2ce74baf-e8dd-4963-9a65-72de04664a3a,nawawi,28- السنة,hard,mc,"أوصيكم بتقوى الله والسمع والطاعة...","فعليكم بسنتي وسنة الخلفاء الراشدين.",""
521e7ce5-fff3-455b-ad0d-92d7cd87b029,nawawi,28- السنة,hard,tf,"يجب التمسك بسنة الخلفاء الراشدين.","فعليكم بسنتي وسنة الخلفاء الراشدين.",""
a45c0c04-0e89-42f3-a392-f2606b766bf4,nawawi,29- اللسان,medium,tf,"أكثر ما يدخل الناس النار هو حصائد ألسنتهم.","وهل يكب الناس على وجوههم في النار إلا حصائد ألسنتهم.",""
6e3a3e38-6070-4352-8eb3-1a5848052bf3,nawawi,3- أركان الإسلام,medium,mc,"الزكاة هي:","الزكاة: المال الواجب لمستحقه.",""
26f3d3b0-1e3a-4f81-9cf4-aa945f8f0d04,nawawi,30- الحدود,medium,mc,"إن الله فرض فرائض فلا...","فلا تضيعوها.",""
135d0bb6-d43e-4f1a-a566-2efe89c1e26d,nawawi,31- الزهد,easy,mc,"ازهد في الدنيا يحبك الله، وازهد فيما عند الناس...","يحبك الله، ويحبك الناس.",""
e40007c9-1ee6-4bd0-a75c-344b8259d2c9,nawawi,33- القضاء,hard,mc,"البينة على...","البينة على المدعي، واليمين على من أنكر.",""
631bd955-d052-4292-8366-5a3aac08e7a6,nawawi,34- إنكار المنكر,medium,tf,"إنكار المنكر بالقلب أضعف الإيمان.","وذلك أضعف الإيمان.",""
1db7086a-ddff-4b54-a188-3ab280f420cb,nawawi,35- الأخوة,easy,tf,"المسلم أخو المسلم، لا يظلمه ولا يخذله ولا يحقره.","كل المسلم على المسلم حرام.",""
f469d4e4-8926-4773-b925-6a920c4f84b1,nawawi,35- الأخوة,medium,tf,"يحرم على المسلم دم أخيه وماله وعرضه.","كل المسلم على المسلم حرام.",""
850c6a73-1256-4c7a-998a-a20d527e9d5c,nawawi,37- الحسنات,medium,mc,"من هم بحسنة فلم يعملها...","كتبها الله عنده حسنة كاملة.",""
10a36d97-16ad-43f5-a9d1-414da3860480,nawawi,37- الحسنات,medium,tf,"من هم بسيئة فعملها كتبت سيئة واحدة.","فإن عملها كتبها الله سيئة واحدة.",""
74076c42-5f23-4e68-8de6-2864ca262829,nawawi,38- الأولياء,hard,mc,"ما تقرب إلي عبدي بشيء أحب إلي مما...","وما تقرب إلي عبدي بشيء أحب إلي مما افترضته عليه.",""
4505d711-ae74-4891-99f9-4bfb3f1a4eec,nawawi,39- العفو,medium,tf,"إن الله تجاوز عن أمتي الخطأ والنسيان وما استكرهوا عليه.","رواه ابن ماجه.",""
6a0f4a4c-721e-4c78-af74-1161be8a77a4,nawawi,4- القدر,hard,tf,"الملك يكتب رزق الإنسان وأجله وعمله وشقي أو سعيد.","بأربع كلمات.",""
e62798c1-f97f-4ca7-926e-f3ab931b6b80,nawawi,4- القدر,medium,mc,"كم يوماً يجمع خلق الإنسان في بطن أمه قبل نفخ الروح؟","يجمع خلقه أربعين يوماً نطفة...",""
40c35b74-2576-4bb5-a509-ae206f55c610,nawawi,40- الزهد,medium,mc,"كان ابن عمر يقول: إذا أمسيت فلا تنتظر...","إذا أمسيت فلا تنتظر الصباح.",""
61f1587c-b9b3-4a1b-8afa-7dab10118420,nawawi,40- الزهد,medium,tf,"ينبغي للمسلم أن يعيش في الدنيا كالمقيم الدائم.","بل كغريب أو عابر سبيل.",""
6b5e357b-2337-4685-ae2c-804d957878ea,nawawi,5- البدعة,medium,tf,"البدعة تنقسم إلى حسنة وسيئة.","كل بدعة ضلالة.",""
869d0b38-9f04-4f43-a1ae-60b340d5c6a3,nawawi,5- البدعة,medium,mc,"حكم العمل الذي ليس عليه أمر الشرع:","من عمل عملاً ليس عليه أمرنا فهو رد.",""
9fe79480-583d-4338-928a-f375d51a476d,nawawi,6- الشبهات,medium,mc,"ما مثل الحلال والحرام والمشتبهات؟","كَالرَّاعِي يَرْعَى حَوْلَ الْحِمَى.",""
517ed86f-3bc1-49e1-b33e-28d5ca1f4d04,nawawi,6- الشبهات,medium,tf,"من وقع في الشبهات وقع في الحرام.","كما في الحديث.",""
a764c694-122a-49ff-a7df-ad2bfccc45aa,nawawi,7- الدين النصيحة,medium,mc,"""الدين النصيحة"" قالها النبي ﷺ، والنصيحة لـ:","«الله وكتابه ورسوله وأئمة المسلمين وعامتهم» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
09032ae8-9842-4ee8-8e78-024caefe413d,nawawi,7- الدين النصيحة,medium,mc,"""الدين النصيحة""، قلنا لمن؟ قال: لله ولكتابه ولرسوله و:","«أئمة المسلمين وعامتهم» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
6d80017a-77d3-4857-99b8-3a193479a911,nawawi,7- النصيحة,medium,mc,"الدين النصيحة. لمن؟","قلنا: لمن؟ قال: لله ولكتابه ولرسوله ولأئمة المسلمين وعامتهم.",""
40459252-7195-453e-8b26-71fd6756bda5,nawawi,7- النصيحة,medium,tf,"النصيحة لله تكون بالدعوة إلى الإيمان به وتنزيهه عن الشرك.","النصيحة لله هي التعظيم لأمره والشفقة على خلقه.",""
e993741b-058c-44ef-932a-e438bbf48942,nawawi,8- الجهاد,medium,mc,"أمر النبي ﷺ أن يقاتل الناس حتى...","أمرت أن أقاتل الناس حتى يشهدوا أن لا إله إلا الله.",""
f6687348-8da8-4773-bc22-ca1b1bfecd9d,nawawi,9- السؤال,medium,mc,"ما الذي أهلك الأمم السابقة؟","إنما هلك من كان قبلكم بكثرة سؤالهم واختلافهم.",""
47e120ad-2c58-4fd8-9cb5-e018878a0f98,nawawi,9- السؤال,medium,tf,"نهى النبي ﷺ عن كثرة السؤال بغير حاجة.","إن الله كره لكم قيل وقال وكثرة السؤال.",""
25884a17-0a08-4204-9234-297f11011979,nawawi,الأربعون النووية,hard,mc,"""اتق الله حيثما كنت"" وصية تجمع:","«حقوق الله وحقوق العباد» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
4f445a90-4d61-4e95-a6b7-9dcaf7acb6d6,nawawi,الأربعون النووية,easy,mc,"""البر حسن الخلق والإثم ما حاك في صدرك"" راويه:","«النواس بن سمعان» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
9218b66d-d695-4c63-bc4d-2cf6ea1419ee,nawawi,الأربعون النووية,easy,mc,"""الحلال بيّن والحرام بيّن وبينهما أمور مشتبهات"" يحثّ على:","«اتقاء الشبهات» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
c0235d41-f3d5-473d-9afa-8c3718610b4c,nawawi,الأربعون النووية,easy,mc,"""الطهور شطر الإيمان"" يدل على فضل:","«الطهارة» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
7941ff99-3332-4f64-9d79-2d5dc65bca31,nawawi,الأربعون النووية,hard,mc,"""المسلم من سلم المسلمون من لسانه ويده"" يدل على:","«كفّ الأذى» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
04581ee2-bdfe-4f12-bfd3-239453ede335,nawawi,الأربعون النووية,easy,mc,"""رُفع عن أمتي الخطأ والنسيان وما استُكرهوا عليه"" يدل على:","«رفع الحرج» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
a1d8f12b-4697-41c4-8b9a-ee32cacb22f3,nawawi,الأربعون النووية,hard,mc,"""كل بدعة ضلالة"" يدل على ذمّ:","«الإحداث في الدين» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
64108c2e-be22-4a6e-832c-73a5ccb6527d,nawawi,الأربعون النووية,easy,mc,"""لا ضرر ولا ضرار"" يدل على:","«منع إلحاق الضرر بالنفس والغير» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
cb21e26c-43d2-403f-b059-750a049578b0,nawawi,الأربعون النووية,hard,mc,"""من حسن إسلام المرء تركه ما لا يعنيه"" يحثّ على:","«ترك الفضول» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
e5367815-958c-4ec4-9138-ed6455725381,nawawi,الأربعون النووية,easy,mc,"""من رأى منكم منكراً فليغيّره بيده"" يدل على وجوب:","«إنكار المنكر» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
91478a6f-b47b-45c8-9061-a7ec5c6c5dda,nawawi,الأربعون النووية,hard,mc,"""من عادى لي ولياً فقد آذنته بالحرب"" حديث:","«قدسي» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
e2c00759-6852-4347-bbb3-a500cf186470,nawawi,الأربعون النووية,hard,mc,"أركان الإيمان الستة منها:","«الإيمان بالملائكة» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
a477d2a7-43df-4ac6-81dc-904fb797afed,nawawi,الأربعون النووية,medium,mc,"الكلمات الأربع التي يُؤمر بها الملك تشمل:","«العمل والأجل والرزق والشقاوة أو السعادة» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
6bd77adb-557f-48e9-8ab3-e3e32b27cded,nawawi,الأربعون النووية,medium,mc,"حديث ""ازهد في الدنيا يحبك الله"" يدعو إلى:","«الزهد» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
a7e49c99-e7ae-499a-815b-c9d0ee849621,nawawi,الأربعون النووية,medium,mc,"صدق النبي ﷺ في حديث ابن مسعود وُصف بأنه:","«الصادق المصدوق» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
4e0c618e-520b-4511-9a67-5b9f328aa7c3,nawawi,الأربعون النووية,medium,mc,"طلب العلم في حديث ""من سلك طريقاً يلتمس فيه علماً"":","«يسهّل الله له طريقاً إلى الجنة» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
8a54e7c1-8768-415c-866b-5605122aea44,nawawi,الأربعون النووية,easy,mc,"في حديث ابن مسعود يُجمع خلق الإنسان في بطن أمه:","«أربعين يوماً نطفة» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
ff6b7cba-3fad-47e1-a748-5ea7336bc1e5,nawawi,👤 المؤلف,easy,mc,"من هو مؤلف الأربعون النووية؟","أبو زكريا محيي الدين يحيى بن شرف النووي رحمه الله.",""
bd0f2004-eda9-4993-975c-25d4786e349a,nawawi,📖 الكتاب,easy,mc,"لماذا جمع الإمام النووي هذه الأربعين حديثاً؟","كل حديث منها قاعدة عظيمة من قواعد الدين.",""
80f09a36-8bae-49ea-a0c9-2df64983e710,nawawi,📚 تراجم الرواة,medium,mc,"ابن مسعود رضي الله عنه كان من السابقين إلى الإسلام وهاجر إلى:","«الحبشة ثم المدينة» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
31d613b7-3a50-4285-9f06-5fec89170b83,nawawi,📚 تراجم الرواة,easy,mc,"استُشهد عمر بن الخطاب رضي الله عنه في السنة:","«الثالثة والعشرين من الهجرة» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
48c3d4db-63af-45a8-ad88-362fe1930464,nawawi,📚 تراجم الرواة,easy,mc,"راوي حديث ""إن أحدكم يُجمع خلقه في بطن أمه"" هو:","«عبد الله بن مسعود رضي الله عنه» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
9ef7f53c-a9c8-4f0e-9057-fe16b630df14,nawawi,📚 تراجم الرواة,medium,mc,"راوي حديث ""بُني الإسلام على خمس"" هو:","«عبد الله بن عمر رضي الله عنهما» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
bd68b69c-ab30-493d-b073-f06026a9ac25,nawawi,📚 تراجم الرواة,hard,mc,"راوي حديث الولاية ""من عادى لي ولياً"" و""رفع الحرج"" هو:","«أبو هريرة وابن عباس على الترتيب» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
552cf1e6-f6f8-4711-8218-058f0496f7a1,nawawi,📚 تراجم الرواة,hard,mc,"عبد الله بن عمر رضي الله عنهما أسلم:","«مع أبيه بمكة وهو صغير» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
d3fa8f26-757b-4a00-8449-35e81a4014d1,nawawi,📚 تراجم الرواة,hard,mc,"لُقّب عمر بن الخطاب بـ ""الفاروق"" لأنه:","«كان يفرّق بين الحق والباطل» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
62d5943d-857a-43a9-ba34-ec83ef01e96b,nawawi,📚 متون إضافية,hard,mc,"""إن الله طيّب لا يقبل إلا"":","«طيّباً» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
41b189f4-a2e6-43a3-ba4f-e27fb4f6627b,nawawi,📚 متون إضافية,hard,mc,"""احفظ الله"":","«يحفظك» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
b3ed2d52-6441-4845-ad3d-cc8cfc2a0f9b,nawawi,📚 متون إضافية,easy,mc,"""البر حسن الخلق، والإثم ما حاك في"":","«نفسك» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
8913f815-94e4-4e3c-b899-d09e92d717f8,nawawi,📚 متون إضافية,easy,mc,"""دع ما يريبك إلى ما"":","«لا يريبك» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
3ba3317a-9fef-4994-9535-07520ea0fdc2,nawawi,📚 متون إضافية,medium,mc,"""كن في الدنيا كأنك"":","«غريب أو عابر سبيل» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
ef0c9b86-fc95-4c6c-b10d-ef93a2e46153,nawawi,📚 متون إضافية,easy,mc,"""لا يؤمن أحدكم حتى يحب لأخيه ما"":","«يحب لنفسه» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
8258a7b0-d54b-4a68-8b4d-0c3a05ef2fb7,nawawi,📚 متون إضافية,hard,mc,"""من حسن إسلام المرء"":","«تركه ما لا يعنيه» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
2f400211-17a1-4c8a-bb79-2ba134c86f91,nawawi,📚 معاني الكلمات والفوائد,hard,mc,"""الإسلام"" لغةً وشرعاً في حديث ""بُني الإسلام"":","«الاستسلام لله بالتوحيد والانقياد له بالطاعة والبراءة من الشرك» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
ade63dbb-5665-4f61-af60-898cb2272d4b,nawawi,📚 معاني الكلمات والفوائد,hard,mc,"""الحج"" شرعاً:","«قصد بيت الله الحرام لأداء نسك مخصوص في وقت مخصوص» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
85144bc0-eed2-4866-bbf6-53aaf7d73d38,nawawi,📚 معاني الكلمات والفوائد,easy,mc,"""الزكاة"" شرعاً:","«عبادة مالية مقدرة شرعاً تُصرف لطائفة مخصوصة» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
d0dd6b80-e1b2-427e-b748-f0fa8c6f54b7,nawawi,📚 معاني الكلمات والفوائد,medium,mc,"""الصوم"" شرعاً:","«الإمساك عن الأكل والشرب والمفطرات من الفجر إلى الغروب تعبداً» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
4c184ccc-c242-4821-a7e8-f97681fdb7e5,nawawi,📚 معاني الكلمات والفوائد,medium,mc,"أحبّ ما يتقرب به العبد إلى الله بحسب حديث الولاية هو:","«أداء الفرائض» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
e018b81d-894b-47fd-9cef-4a9e6b5aef98,nawawi,📚 معاني الكلمات والفوائد,medium,mc,"الأعذار الثلاثة التي رُفع بها الإثم في حديث ابن عباس هي:","«الخطأ والنسيان والإكراه» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
24a892d5-3cd5-484a-85db-63ba1cea2f82,nawawi,📚 معاني الكلمات والفوائد,easy,mc,"معنى ""آذنته بالحرب"" في حديث الولاية:","«أعلنت عليه الحرب» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.",""
d559ce7e-cc4a-4c61-88a9-e2331e38c85d,nawawi,📚 معاني الكلمات والفوائد,easy,mc,"معنى ""الأمَة"" في علامات الساعة ""أن تلد الأمة ربتها"":","«المملوكة» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.",""
c07d02bc-50b6-4351-8058-63e0c96dc0b2,nawawi,📚 معاني الكلمات والفوائد,hard,mc,"معنى ""الخطأ"" في حديث رفع الحرج:","«ما يرتكبه الإنسان من العمل من غير عمد» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.",""
ba832db3-dd15-4230-976e-0b8522a3d3eb,nawawi,📚 معاني الكلمات والفوائد,easy,mc,"معنى ""النسيان"" في حديث رفع الحرج:","«ذهول القلب عن شيء معلوم من قبل» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.",""
9b3efbda-dc23-4346-ab0f-7a1ca325e9b1,tawheed,كتاب التوحيد,easy,mc,"""الثقلان"" المذكوران في الخلق هما:","«الجن والإنس» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
89fcf4ea-44b1-4d00-ba3f-0bf15a37c855,tawheed,كتاب التوحيد,hard,mc,"""لا إله إلا الله"" أعظم كلمة لأنها:","«كلمة التوحيد» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
9f3bbbd5-594a-4376-ab40-ac64c3829903,tawheed,كتاب التوحيد,easy,mc,"أعظم الذنوب على الإطلاق هو:","«الشرك» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
a7094b34-e5d0-4217-af43-506fe49c1464,tawheed,كتاب التوحيد,hard,mc,"إبراهيم عليه السلام دعا ربه أن يجنّبه وبنيه:","«عبادة الأصنام» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
397fd3d5-ba59-417c-8529-109e49f1cc9b,tawheed,كتاب التوحيد,easy,mc,"إثبات ما أثبته الله لنفسه من الأسماء والصفات هو توحيد:","«الأسماء والصفات» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
587174d4-898d-44e1-9bd4-3ed80bd0c051,tawheed,كتاب التوحيد,hard,mc,"إفراد الله بالخلق والملك والتدبير هو:","«توحيد الربوبية» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
5d63fb7b-d138-4778-86f3-7c3442e87891,tawheed,كتاب التوحيد,medium,mc,"الأمن التام والاهتداء يحصل لمن:","«حقّق التوحيد» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
cfe3b156-db45-49b2-8f99-009186fbdb2b,tawheed,كتاب التوحيد,medium,mc,"التوحيد الذي هو إفراد الله بالعبادة يسمى:","«توحيد الألوهية» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
