id,book,level,question_text,source_quote_current,book_page_NEW,source_quote_NEW,notes
4c184ccc-c242-4821-a7e8-f97681fdb7e5,nawawi,medium,أحبّ ما يتقرب به العبد إلى الله بحسب حديث الولاية هو:,الإجابة الصحيحة: أداء الفرائض,,,
4e0c618e-520b-4511-9a67-5b9f328aa7c3,nawawi,medium,"طلب العلم في حديث ""من سلك طريقاً يلتمس فيه علماً"":",الإجابة الصحيحة: يسهّل الله له طريقاً إلى الجنة,,,
50870bd5-2d04-413e-a3e5-a91569c7eccb,nawawi,medium,في بضع أحدكم صدقة.,قالوا: أيأتي أحدنا شهوته ويكون له فيها أجر؟ قال: نعم.,,,
517ed86f-3bc1-49e1-b33e-28d5ca1f4d04,nawawi,medium,من وقع في الشبهات وقع في الحرام.,,,,
54c16810-a520-4ec8-961e-270bff6c1839,nawawi,medium,أكل الحرام يمنع إجابة الدعاء.,ثم ذكر الرجل يطيل السفر... ومطعمه حرام... فأنى يستجاب لذلك.,,,
5d714abc-747b-4e95-8ab4-e31e6f985a3d,nawawi,medium,البر هو...,,,,
61f1587c-b9b3-4a1b-8afa-7dab10118420,nawawi,medium,ينبغي للمسلم أن يعيش في الدنيا كالمقيم الدائم.,بل كغريب أو عابر سبيل.,,,
631bd955-d052-4292-8366-5a3aac08e7a6,nawawi,medium,إنكار المنكر بالقلب أضعف الإيمان.,وذلك أضعف الإيمان.,,,
6b5e357b-2337-4685-ae2c-804d957878ea,nawawi,medium,البدعة تنقسم إلى حسنة وسيئة.,,,,
6bd77adb-557f-48e9-8ab3-e3e32b27cded,nawawi,medium,"حديث ""ازهد في الدنيا يحبك الله"" يدعو إلى:",الإجابة الصحيحة: الزهد,,,
6d80017a-77d3-4857-99b8-3a193479a911,nawawi,medium,الدين النصيحة. لمن؟,قلنا: لمن؟ قال: لله ولكتابه ولرسوله ولأئمة المسلمين وعامتهم.,,,
6e3a3e38-6070-4352-8eb3-1a5848052bf3,nawawi,medium,الزكاة هي:,الزكاة: المال الواجب لمستحقه.,,,
727c0b70-4282-4e8e-9d5a-184312a33c5a,nawawi,medium,النية محلها القلب ولا يشترط التلفظ بها.,النية محلها القلب.,,,
773408fc-974c-4281-8dbf-ef171bad0874,nawawi,medium,"معنى ""طلع علينا"" في حديث جبريل:",«خرج علينا» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.,,,
7adf11c1-2f42-412c-87e8-7adbe489d73b,nawawi,medium,في حديث جبريل: ما الإسلام؟,الإسلام: الشهادة، إقام الصلاة، إيتاء الزكاة، صوم رمضان، حج البيت.,,,
7bdfccd0-03b8-4002-a193-faea65aa043d,nawawi,medium,الإثم ما حاك في الصدر وكرهت أن يطلع عليه الناس.,,,,
7bf71509-12cb-415e-9974-2ea1b237c14a,nawawi,medium,الغضب جمرة يلقيها الشيطان، ويطفأ بـ:,الغضب جمرة يلقيها الشيطان.,,,
80f09a36-8bae-49ea-a0c9-2df64983e710,nawawi,medium,ابن مسعود رضي الله عنه كان من السابقين إلى الإسلام وهاجر إلى:,الإجابة الصحيحة: الحبشة ثم المدينة,,,
850c6a73-1256-4c7a-998a-a20d527e9d5c,nawawi,medium,من هم بحسنة فلم يعملها...,كتبها الله عنده حسنة كاملة.,,,
869d0b38-9f04-4f43-a1ae-60b340d5c6a3,nawawi,medium,حكم العمل الذي ليس عليه أمر الشرع:,من عمل عملاً ليس عليه أمرنا فهو رد.,,,
8b903aae-b88a-48a8-a498-cecfc51f8a03,nawawi,medium,قل آمنت بالله ثم...,قل آمنت بالله ثم استقم.,,,
9cce0d7b-db39-4846-bbdd-4ec5fe7edce2,nawawi,medium,سيدنا جبريل جاء في صورة رجل شديد بياض الثياب.,إذ طلع علينا رجل شديد بياض الثياب.,,,
9d2783c1-7db9-476c-a49a-bb3861b1d4e7,nawawi,medium,حديث جبريل بيّن مراتب الدين الثلاث:,الإجابة الصحيحة: الإسلام والإيمان والإحسان,,,
9ef7f53c-a9c8-4f0e-9057-fe16b630df14,nawawi,medium,"راوي حديث ""بُني الإسلام على خمس"" هو:",الإجابة الصحيحة: عبد الله بن عمر رضي الله عنهما,,,
9fe79480-583d-4338-928a-f375d51a476d,nawawi,medium,ما مثل الحلال والحرام والمشتبهات؟,كَالرَّاعِي يَرْعَى حَوْلَ الْحِمَى.,,,
a45c0c04-0e89-42f3-a392-f2606b766bf4,nawawi,medium,أكثر ما يدخل الناس النار هو حصائد ألسنتهم.,وهل يكب الناس على وجوههم في النار إلا حصائد ألسنتهم.,,,
a477d2a7-43df-4ac6-81dc-904fb797afed,nawawi,medium,الكلمات الأربع التي يُؤمر بها الملك تشمل:,الإجابة الصحيحة: العمل والأجل والرزق والشقاوة أو السعادة,,,
a764c694-122a-49ff-a7df-ad2bfccc45aa,nawawi,medium,"""الدين النصيحة"" قالها النبي ﷺ، والنصيحة لـ:",الإجابة الصحيحة: الله وكتابه ورسوله وأئمة المسلمين وعامتهم,,,
a7e49c99-e7ae-499a-815b-c9d0ee849621,nawawi,medium,صدق النبي ﷺ في حديث ابن مسعود وُصف بأنه:,الإجابة الصحيحة: الصادق المصدوق,,,
af629576-73ef-4737-bf82-d57df3153728,nawawi,medium,من صلى الصلوات الخمس وصام رمضان وأحل الحلال وحرم الحرام دخل الجنة.,قال النبي ﷺ: نعم.,,,
b5ff7eaf-2065-47f3-8037-b81eadc02288,nawawi,medium,لماذا لا يستجاب دعاء آكل الحرام؟,إن الله طيب لا يقبل إلا طيباً.,,,
bca53c44-9668-4fdd-a671-cbe8dbe507bf,nawawi,medium,من علامات الساعة في حديث جبريل:,أن تلد الأمة ربتها، وأن ترى الحفاة العراة يتطاولون في البنيان.,,,
c0cbca1e-37ae-41a7-b752-4062ec19577d,nawawi,medium,لا يحل دم امرئ مسلم إلا بإحدى ثلاث:,الثيب الزاني، والنفس بالنفس، والتارك لدينه.,,,
d0dd6b80-e1b2-427e-b748-f0fa8c6f54b7,nawawi,medium,"""الصوم"" شرعاً:",الإجابة الصحيحة: الإمساك عن الأكل والشرب والمفطرات من الفجر إلى الغروب تعبداً,,,
e018b81d-894b-47fd-9cef-4a9e6b5aef98,nawawi,medium,الأعذار الثلاثة التي رُفع بها الإثم في حديث ابن عباس هي:,الإجابة الصحيحة: الخطأ والنسيان والإكراه,,,
e62798c1-f97f-4ca7-926e-f3ab931b6b80,nawawi,medium,كم يوماً يجمع خلق الإنسان في بطن أمه قبل نفخ الروح؟,يجمع خلقه أربعين يوماً نطفة...,,,
e993741b-058c-44ef-932a-e438bbf48942,nawawi,medium,أمر النبي ﷺ أن يقاتل الناس حتى...,أمرت أن أقاتل الناس حتى يشهدوا أن لا إله إلا الله.,,,
ea0b0624-8cb1-4ff7-9403-bb2539696ef4,nawawi,medium,أركان الإيمان في حديث جبريل:,أن تؤمن بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره.,,,
f469d4e4-8926-4773-b925-6a920c4f84b1,nawawi,medium,يحرم على المسلم دم أخيه وماله وعرضه.,كل المسلم على المسلم حرام.,,,
f6687348-8da8-4773-bc22-ca1b1bfecd9d,nawawi,medium,ما الذي أهلك الأمم السابقة؟,إنما هلك من كان قبلكم بكثرة سؤالهم واختلافهم.,,,
f8d60aef-bdde-4120-a733-9bc08f6f5460,nawawi,medium,الإحسان في حديث جبريل أن تعبد الله:,الإجابة الصحيحة: كأنك تراه فإن لم تكن تراه فإنه يراك,,,
ff106f06-ba52-4b39-84c5-dd7e7e5918fa,nawawi,medium,"راوي حديث ""إنما الأعمال بالنيات"" هو:",الإجابة الصحيحة: عمر بن الخطاب رضي الله عنه,,,
06457497-1ae6-4bec-8658-6013bb90d3d9,tawheed,easy,ما الذي لا يُغفر عند الله بدون توبة؟,قال تعالى: (إن الله لا يغفر أن يشرك به ويغفر ما دون ذلك لمن يشاء).,,,
07483021-8f6a-44c8-9f32-1040d095f0c5,tawheed,easy,حق الله على العباد هو عبادته وعدم الشرك به.,هذا ما جاء في حديث معاذ بن جبل.,,,
078a75a8-4a74-46c0-b7eb-1fbadb6a5181,tawheed,easy,الفأل الذي أعجب النبي ﷺ هو:,الإجابة الصحيحة: الكلمة الطيبة,,,
0a0f2c01-802a-404e-bf51-2bd22c0ea528,tawheed,easy,التبرك بالأشجار والأحجار تشبّه بأهل:,الإجابة الصحيحة: الجاهلية واليهود والنصارى,,,
0b46550c-74b0-42d0-b785-4a65b058449b,tawheed,easy,"""من حلف بالله"" — فعليه أن:",الإجابة الصحيحة: يصدُق,,,
0b77a42e-8a0b-4d9a-9712-b84fb90d2ee9,tawheed,easy,ابن القيم قسّم النُّشرة إلى:,الإجابة الصحيحة: نوعين,,,
0d472dec-d080-4755-af10-c9160943130d,tawheed,easy,الصدقة تُؤخذ من أغنيائهم وتُردّ على:,الإجابة الصحيحة: فقرائهم,,,
0e1997b6-0e1b-464a-8141-775d3bcad456,tawheed,easy,"قال ابن مسعود: ""إن الرُّقى والتمائم والتِّوَلة"":",الإجابة الصحيحة: شرك,,,
0f1efff9-1444-4eb2-a109-250d262cb098,tawheed,easy,ما الحكم في قوله: (ومن الناس من يتخذ من دون الله أنداداً يحبونهم كحب الله)؟,محبة غير الله محبةً كحب الله أو أشد شرك أكبر.,,,
1886ee24-c0e2-4b80-b0e3-6f8776127fea,tawheed,easy,من أتى كاهناً (دون تصديق) لم تُقبل له صلاة:,الإجابة الصحيحة: أربعين يوماً,,,
1acbe9c3-b9cb-4bbf-8ff1-dc8006de7f8b,tawheed,easy,"""إن الله هو الحَكَم وإليه"":",الإجابة الصحيحة: الحُكم,,,
1c540d83-e6cf-4e0a-ac72-1b7c13394296,tawheed,easy,"""أمّن يجيب المضطر إذا دعاه ويكشف السوء"" دليل على أن الاستغاثة لا تكون إلا بـ:",الإجابة الصحيحة: الله,,,
1cb55316-5773-4fd4-9cbc-ed8a3ad77fcf,tawheed,easy,ما حكم التبرك بالأشجار والأحجار معتقداً فيها البركة؟,التبرك بالأشجار والأحجار بنية جلب النفع أو دفع الضر شرك.,,,
1d4f7bba-2704-4790-9c3e-9bb9080d6705,tawheed,easy,"""ذات أنواط"" كانت:",الإجابة الصحيحة: شجرة يعكف عندها المشركون,,,
1d82c030-e242-4004-a775-baa2cc4a3275,tawheed,easy,التبرك المذموم هو طلب البركة من الأشجار والأحجار مع:,الإجابة الصحيحة: اعتقاد نفعها,,,
268a7a48-2f77-4dbb-b2e9-e1a292049b85,tawheed,easy,الذبح لغير الله شرك أكبر لأنه:,الإجابة الصحيحة: عبادة صُرفت لغير الله,,,
2c6dd0dd-cec0-4697-abd4-5dd1d027050e,tawheed,easy,"""أنا الدهر أقلّب الليل و"":",الإجابة الصحيحة: النهار,,,
2e2b218a-f71d-4895-b2b9-395db4e4b483,tawheed,easy,في قصة الذباب: دخل النار رجل قرّب للصنم:,الإجابة الصحيحة: ذباباً,,,
389f46a3-ec1f-4cbd-84ce-1ff39b9ce68a,tawheed,easy,التحليل والتحريم حقّ خالص لـ:,الإجابة الصحيحة: الله تعالى,,,
397166c4-f1e3-44cf-b232-90e463b0966f,tawheed,easy,الطيرة من الشرك لأنها تعلّق القلب على غير الله وتنافي:,الإجابة الصحيحة: التوكل,,,
397fd3d5-ba59-417c-8529-109e49f1cc9b,tawheed,easy,إثبات ما أثبته الله لنفسه من الأسماء والصفات هو توحيد:,الإجابة الصحيحة: الأسماء والصفات,,,
3bb4ad20-8e8e-4368-ad0f-c1edbad6d812,tawheed,easy,"""من أتى كاهناً فصدّقه بما يقول فقد كفر بما أُنزل على"":",الإجابة الصحيحة: محمد ﷺ,,,
3dab6f57-2460-41c7-b8f3-7067eff967b3,tawheed,easy,الاستعانة الشركية هي:,الاستعانة بغير الله فيما لا يقدر عليه إلا الله شرك أكبر.,,,
40fd1b0a-b12e-4b92-9958-5241f6df5912,tawheed,easy,ما هو الطاغوت؟,الطاغوت: مشتق من الطغيان، فكل ما عُبد من دون الله وهو راضٍ بالعبادة فهو طاغوت.,,,
44df21e0-af98-480d-8a15-e3cf473e3412,tawheed,easy,الذنب الذي لا يغفره الله لمن مات عليه ولم يتب هو:,الإجابة الصحيحة: الشرك,,,
470daefd-fc6e-4d27-a694-c317203117f4,tawheed,easy,التمائم: شيء يُعلّق على الأولاد لـ:,الإجابة الصحيحة: اتقاء العين,,,
52a6cb8b-93bc-4039-8483-8fce828e057e,tawheed,easy,التشريع (التحليل والتحريم) من خصائص:,الإجابة الصحيحة: الرب,,,
535f5711-195b-4edd-aa2b-c64b651895f0,tawheed,easy,التوحيد يكفر الذنوب جميعاً بدون توبة.,الشرك لا يغفر إلا بالتوبة.,,,
5368f73b-1420-40fe-a885-0d983324b673,tawheed,easy,ما شرطا قبول العمل الصالح؟,شرطا القبول: الإخلاص لله والمتابعة للنبي ﷺ.,,,
569c4258-9c97-4b96-accf-2342b35f0ad2,tawheed,easy,ادّعاء معرفة الحوادث المستقبلة بالنجوم (التأثير) نوع من:,الإجابة الصحيحة: السحر والشرك,,,
56eeda27-e68f-45c4-815f-06506c20eccd,tawheed,easy,الواجب عند المصائب: الإيمان بـ:,الإجابة الصحيحة: القضاء والقدر,,,
57e222ad-b48e-442c-8f88-6a512c0a54da,tawheed,easy,ما شرط قبول شهادة أن لا إله إلا الله؟,لا بد من سبعة شروط: العلم، اليقين، القبول، الانقياد، الصدق، الإخلاص، المحبة.,,,
57e3e5a5-e525-40dd-a05d-91eec9f3d418,tawheed,easy,"في رواية ثانية: ""لا تسبّوا الدهر فإن الله"":",الإجابة الصحيحة: هو الدهر,,,
5aeee9f3-c1a0-44e9-a85e-f26691ac1502,tawheed,easy,خلق الله الجن والإنس للتجارة والبناء.,بل خلقهم لعبادته.,,,
600b3831-6283-443b-9cde-d733cd3486bf,tawheed,easy,الرقى المنهي عنها هي التي تسمى:,الإجابة الصحيحة: العزائم,,,
6236cc16-0c57-47a5-8555-94c1103562e7,tawheed,easy,"قوله تعالى ""وما خلقت الجن والإنس إلا ليعبدون"" دليل على:",الإجابة الصحيحة: وجوب إفراد الله بالعبادة,,,
67831742-cfc3-4c12-a11c-4be748e40bda,tawheed,easy,ما أعظم الذنوب عند الله؟,الشرك بالله هو أعظم الذنوب، لأنه لا يغفر إلا بالتوبة.,,,
67b85d01-c002-4225-bef9-882e4abfd561,tawheed,easy,سبّ الدهر يقع في الغالب عند نزول:,الإجابة الصحيحة: المصائب,,,
683878a9-ad19-4e8f-bbc3-09fa94dc1906,tawheed,easy,في حديث طارق بن شهاب: دخل رجل النار في:,الإجابة الصحيحة: ذُباب,,,
6c01d773-8f39-4c77-9ff9-407cbab2a2c4,tawheed,easy,الفزع الذي يصيب السماوات عند تكلّم الله دليل على:,الإجابة الصحيحة: تعظيم الملائكة لكلامه,,,
